Time(50/second), barrage, foe, drop, X(pos[0]), Y(pos[1]), foeMove>>
120,0,0,0,460,50,0
135,0,0,1,460,50,0
150,0,0,0,460,50,0
165,0,0,0,460,50,0
180,0,0,0,460,50,0
280,0,0,0,-10,50,1
295,0,0,0,-10,50,1
310,0,0,1,-10,50,1
325,0,0,0,-10,50,1
340,0,0,0,-10,50,1
420,1,4,1,150,-10,2
420,1,4,0,300,-10,2
440,0,1,0,460,90,0
440,0,1,0,-10,90,1
470,0,1,0,460,90,0
470,0,1,0,-10,90,1
550,0,1,0,460,90,0
550,0,1,0,-10,90,1
600,1,5,1,225,-10,10
660,4,4,0,150,-10,2
660,4,4,0,300,-10,2
680,2,3,0,-10,60,4
680,2,3,0,460,60,4
690,2,3,0,-10,120,4
690,2,3,0,460,120,4
700,2,3,0,-10,180,4
700,2,3,0,460,180,4
770,0,2,0,460,50,0
785,0,2,0,460,50,0
800,0,2,1,460,50,0
815,0,2,0,460,50,0
830,0,2,0,460,50,0
990,0,2,0,-10,50,1
1005,0,2,0,-10,50,1
1020,0,2,1,-10,50,1
1035,0,2,0,-10,50,1
1040,0,2,0,-10,50,1
1140,2,4,0,100,-10,2
1140,2,4,1,350,-10,2
1180,5,4,0,200,-10,3
1180,5,4,0,250,-10,3
1240,8,3,1,150,710,6
1240,8,3,1,300,710,6
1300,3,4,0,460,90,0
1300,3,4,1,-10,90,1
1330,3,4,0,460,90,0
1330,3,4,0,-10,90,1
1360,3,4,1,460,90,0
1360,3,4,0,-10,90,1
1400,7,11,1,225,-10,10
1420,2,4,0,100,-10,2
1420,2,4,0,350,-10,2
1480,0,4,0,-10,60,4
1480,0,4,0,460,60,4
1530,0,4,0,-10,120,4
1530,0,4,0,460,120,4
1600,0,4,0,-10,180,4
1600,0,4,0,-10,180,4
1660,8,3,1,150,710,6
1660,8,3,1,300,710,6
